"","id_jogador","nome_jogador","posicao","altura","peso"
"279",43,"Shilton Alessanco dos Santos","Pivô","1.98"," 112kg"
"280",40,"Audrei Parisotto","Ala","1.91"," 91kg"
"281",31,"Arthur Luiz Belchor Silva","Ala","1.97"," 89kg"
"282",480,"Valter Apolinario Da Silva","Armador","1.85"," 90kg"
"283",70,"Jefferson de Souza Sobral","Pivô","2.03"," 95kg"
"284",62,"Tiago Valentim de Lima","Pivô",NA," 110kg"
"285",23,"Arlindo Gomes Baltazar Neto","Ala/Armador",NA," 76kg"
"286",178,"Marcos Vinícius Inácio","Pivô","2.05"," 120kg"
"287",275,"Arnaldo De Souza Moreira Filho","Ala/Armador",NA," 87kg"
"288",216,"Renan Santos Lenz","Pivô",NA," 102kg"
"289",138,"Luis Fernando da Silva","Ala/Armador","1.83"," 84kg"
"290",26,"Jhonatan Luz dos Santos","Ala","1.97"," 93kg"
"291",214,"Fúlvio Chiantia de Assis","Armador",NA," 83kg"
"292",267,"Eduardo Magalhães Machado","Ala/Armador",NA," 90kg"
"293",1007,"Vinicius de Oliveira Cornelio Pastor","Ala","2"," 103kg"
"294",192,"Larry James Taylor Jr","Armador",NA," 89kg"
"295",215,"Leonard Raye Mosley","Ala","1.95",NA
"296",105,"Jimmy Dreher de Oliveira","Ala",NA," 91kg"
"297",147,"Alexandro da Silva de Oliveira","Ala",NA," 100kg"
"298",284,"Alírio Alves de Souza","Pivô","2.1"," 112kg"
"299",789,"Rafael Diogo Da Silva","Armador",NA," 87kg"
"300",11304,"Thiago César Carneiro Marcello","Ala","1.86"," 80kg"
"301",151,"Edwandesson Carvalho","Ala/Armador","1.96"," 93kg"
"302",828,"Daniel Almiro Zillmer","Ala","1.98"," 95kg"
"303",175,"Thiago Farias Mathias Rosa","Pivô",NA," 115kg"
"304",187,"Murilo Becker da Rosa","Pivô","2.08"," 115kg"
"305",48,"Eduardo Citrangolo Barbosa","Armador","1.89",NA
"306",107,"Rafael Ferreira De Souza","Ala/Pivô","2.09"," 104kg"
"307",152,"Hélio Vitor Luiz da Costa Lima","Ala/Armador","1.87"," 89kg"
"308",166,"Vinícius Villela Gobor","Armador",NA," 90kg"
"309",577,"Vitor Machado Pinto e Silva","Ala/Pivô","0",NA
"310",146,"Guilherme Pereira Deodato","Ala","1.92"," 85kg"
"311",801,"Ralfi Silva Ansaloni","Pivô",NA," 113kg"
"312",97,"Cauê Verzola de Freitas","Armador","1.92"," 90kg"
"313",482,"Carlos Alexandre Rodrigues do Nascimento","Ala/Pivô","2.03"," 106kg"
"314",792,"Roberto Dias Ferreira","Pivô","2"," 107kg"
"315",28,"Ricardo Leopoldo de Azevedo","Ala/Pivô","2.02"," 102kg"
"316",445,"Márcio da Silva Dornelles","Ala","1.96"," 100kg"
"317",1058,"Jefferson Campos","Ala/Armador",NA," 86kg"
"318",161,"Thiago Perez Pereira da Silva","Ala","1.93"," 94kg"
"319",193,"Marcelo Magalhães Machado","Ala","2"," 95kg"
"320",168,"Guilherme Santos Hubner","Ala/Pivô","2.1"," 115kg"
"321",481,"Alex Ribeiro Garcia","Ala","1.9"," 100kg"
"322",119,"Cesar Luiz Fabretti Araujo","Ala/Pivô","2.02"," 109kg"
"323",38,"Cláudio Antônio Gomes Clemente","Pivô","2.02",NA
"324",58,"Alexandre Henrique Santos Pinheiro","Armador","1.85"," 89kg"
"325",209,"Marcio Borges","Ala/Armador","0",NA
"326",96,"Cauê Borges dos Santos","Ala/Armador","1.9"," 91kg"
"327",54,"Vinicius Bristott","Ala/Pivô","1.92",NA
"328",145,"Renato Carbonari","Ala/Pivô","2.05"," 106kg"
"329",1033,"Diego Dias Silva","Pivô","2.08"," 118kg"
"330",351,"André Luiz Quirino Pereira","Pivô","2.05"," 105kg"
"331",273,"Luiz Felipe Elizeu Mendes Ribeiro","Ala/Pivô","2"," 98kg"
"332",134,"José Roberto Nardi Duarte","Ala/Armador","1.95"," 95kg"
"333",210,"Paulo Heitor Boracini","Ala/Armador",NA," 83kg"
"334",852,"Sanlley Borges de Freitas","Ala","1.9",NA
"335",437,"Ronald Rudson Rodrigues dos Reis","Pivô","2.07",NA
"336",788,"Diego Dos Santos Boa","Pivô","1.78",NA
"337",93,"Felipe Taddei","Ala/Armador","1.9"," 92kg"
"338",197,"Eric","Armador","0",NA
"339",310,"Gustavo Santos Pereira Lima","Armador",NA," 80kg"
"340",741,"Pablo Joabson Freire Gomes","Pivô","2",NA
"341",128,"Lucas Tobias dos Santos","Pivô","1.97",NA
"342",448,"Lucas Fernandes Mariano","Pivô","2.07"," 120kg"
"343",89,"Junior","Pivô","2.07",NA
"344",49,"Julian","Ala/Pivô","1.91",NA
"345",90,"Murilo Ivan Lobo Iwama","Armador","1.83",NA
"346",140,"Eduardo Mariano de Oliveira","Ala","1.93"," 95kg"
"347",164,"Cristiano Silva Felício","Pivô","2.08",NA
"348",396,"Fábio Santos de Oliveira","Ala","1.95",NA
"349",348,"Bruno Vieira da Cruz Langsdorff","Armador","1.88"," 92kg"
"350",367,"Marcus Vinícius Vieira de Sousa","Ala","2.07"," 101kg"
"351",379,"João Pedro Boni Sa","Ala/Pivô","1.92",NA
"352",360,"Pedro Cesar Teruel Lima","NOTFOUND",NA,NA
"353",839,"Jordan Burger","Ala/Pivô","2.03"," 98kg"
"354",383,"Maicon Bento Do Nascimento","Ala/Armador","2.13",NA
"355",369,"Erick Rodrigues Camilo","Pivô",NA," 119kg"
"356",377,"Arquilaly Souza dos Santos","Ala/Pivô","1.97",NA
"357",423,"Juan Pablo Figueroa","Armador","1.82",NA
"358",370,"Arthur José da Luz Casimiro","Pivô",NA," 120kg"
"359",484,"Bruno Pires Fiorotto","Pivô","2.08"," 115kg"
"360",740,"Fernando Rocha Sousa","Ala/Pivô","0",NA
"361",368,"Eduardo Farhat Caviglia","Ala","1.94",NA
"362",324,"Bruno Irigoyen","Ala","1.98"," 90kg"
"363",393,"Michel Ferreira do Nascimento","Armador","0",NA
"364",412,"Matheus Dalla Barba","Ala","1.97",NA
"365",341,"Guilherme Schneider","Ala",NA," 85kg"
"366",424,"Robby Stephen Collum","Ala/Armador","1.83",NA
"367",425,"Robert Andrew Day","Ala","1.97",NA
"368",441,"Deryk Evandro Ramos","Armador",NA," 84kg"
"369",386,"Hátila de Souza Passos","Pivô","2.06",NA
"370",315,"Eric Arthur Romualdo","Armador","1.85"," 80kg"
"371",404,"Daniel Machado de Barros Castellar","Pivô","2.02"," 116kg"
"372",394,"Luis Felipe Gruber","Ala/Pivô",NA," 105kg"
"373",416,"Dusan Radivojevic","Ala","1.97",NA
"374",418,"Robert Earl Owens II","Ala","2.01",NA
"375",417,"Maurice Levell Riddick","Ala","1.9",NA
"376",419,"Raphael Mancel da Silva","Ala/Pivô","0",NA
"377",390,"Luciano Ferreira de Souza Junior","Ala/Pivô","2",NA
"378",389,"Renato Scholz da Silva","Ala/Pivô","2.03"," 89kg"
"379",420,"Henrique Macia Alves da Cruz","Ala/Pivô",NA," 98kg"
"380",357,"Luciano Silva Jardim Starling","Armador","1.85",NA
"381",392,"Durelle Lamonte Brown","Ala/Pivô","2.05",NA
"382",365,"Ronald Ricardo Ramon Guerrero","NOTFOUND",NA,NA
"383",427,"Lucas Cipolini Alves","Pivô","2.03"," 105kg"
"384",355,"Daniel Maurice Spillers","Ala/Pivô","2",NA
"385",447,"André Stefanelli Martins","Ala","1.98"," 92kg"
"386",400,"Gutemberg Pereira de Souza","Ala","1.9"," 90kg"
"387",399,"Átila Sacramento dos Santos","NOTFOUND",NA,NA
"388",428,"Frederico Duarte Brito dos Santos","Ala/Pivô","1.98",NA
"389",395,"Douglas Ângelo Nunes","NOTFOUND",NA,NA
"390",1300,"Felipe Rech","Pivô","2.1"," 110kg"
"391",475,"Bernard Gregory Robinson Jr","Ala","1.98",NA
"392",431,"Ricardo Taboas de Bem","Pivô","2.1",NA
"393",432,"Gustavo Henrique de Araujo Gomes","Pivô","0",NA
"394",476,"Pedro Ignacio Calderon","Pivô","2.09",NA
"395",398,"Bruno Costa Savignani","Armador","1.84",NA
"396",133,"Chandler Yury Chaves","Ala","1.96",NA
"397",397,"Carlos Fernando Silva Macedo","Ala/Pivô","0",NA
"398",627,"José Victor Ferreira Jerônimo","Pivô","2.08"," 120kg"
"399",436,"Brett Larry Winkelman","Ala/Pivô","1.98",NA
"400",433,"Elio Corazza Neto","Armador",NA," 88kg"
"401",566,"Murilo Noceti Veloso","Ala",NA,NA
"402",440,"David Boyd Teague III","Ala/Pivô","0",NA
"403",477,"Marques Demtruis Lewis","Ala/Armador","0",NA
"404",444,"Alex Donizete Passilongo","Pivô","2.12",NA
"405",803,"Rafael Fernandes Castellon","Ala","1.92"," 93kg"
"406",434,"Lucas Pinheiro Taets","Armador","1.83",NA
"407",791,"Pedro Pucci de Melo Rodrigues","Ala","1.9",NA
"408",451,"Lucas Miguel Avelino","Armador","1.9",NA
"409",422,"Marcelo Deschamps R. Ruediger","Armador","0",NA
"410",430,"Pedro Henrique de Souza Carvalho","Pivô","2",NA
"411",478,"Ricardo Fischer","Armador","1.85"," 84kg"
"412",381,"Davi Rossetto de Oliveira","Armador","1.81"," 78kg"
"413",485,"Gege","Ala/Pivô","1",NA
"414",402,"Max Gerhard Vater Neto","Armador","0",NA
"415",11387,"Patrick Luiz de Ana Vieira","Armador","1.86"," 80kg"
"416",384,"Leandro Cruvinel Miranda","Pivô","2.05",NA
